index,bin start,count
0,79.000,11
1,80.039,8
2,81.078,16
3,82.117,19
4,83.156,29
5,84.195,30
6,85.234,35
7,86.273,35
8,87.312,65
9,88.352,85
10,89.391,144
11,90.430,159
12,91.469,249
13,92.508,438
14,93.547,691
15,94.586,1263
16,95.625,2057
17,96.664,3315
18,97.703,5229
19,98.742,7262
20,99.781,9659
21,100.820,11985
22,101.859,14163
23,102.898,15699
24,103.938,16572
25,104.977,34804
26,106.016,17413
27,107.055,17571
28,108.094,17253
29,109.133,17129
30,110.172,17438
31,111.211,17440
32,112.250,17910
33,113.289,18268
34,114.328,18691
35,115.367,19114
36,116.406,20015
37,117.445,20993
38,118.484,21985
39,119.523,23181
40,120.562,24438
41,121.602,26078
42,122.641,27618
43,123.680,29312
44,124.719,31580
45,125.758,32900
46,126.797,35233
47,127.836,37381
48,128.875,39908
49,129.914,41784
50,130.953,44785
51,131.992,96554
52,133.031,52648
53,134.070,54847
54,135.109,57768
55,136.148,59490
56,137.188,62111
57,138.227,64316
58,139.266,67126
59,140.305,68613
60,141.344,70997
61,142.383,72064
62,143.422,73723
63,144.461,75776
64,145.500,75515
65,146.539,77738
66,147.578,76893
67,148.617,77754
68,149.656,77564
69,150.695,78048
70,151.734,77027
71,152.773,76599
72,153.812,75447
73,154.852,75145
74,155.891,73736
75,156.930,71539
76,157.969,138867
77,159.008,66420
78,160.047,64061
79,161.086,62964
80,162.125,60719
81,163.164,58637
82,164.203,56330
83,165.242,54056
84,166.281,52107
85,167.320,49834
86,168.359,48208
87,169.398,45726
88,170.438,44171
89,171.477,41494
90,172.516,39986
91,173.555,37603
92,174.594,36044
93,175.633,33849
94,176.672,32768
95,177.711,30857
96,178.750,29293
97,179.789,28416
98,180.828,26554
99,181.867,25558
100,182.906,23513
101,183.945,22882
102,184.984,41738
103,186.023,19147
104,187.062,18213
105,188.102,17364
106,189.141,16251
107,190.180,15593
108,191.219,14648
109,192.258,14141
110,193.297,13274
111,194.336,12805
112,195.375,11855
113,196.414,11132
114,197.453,10928
115,198.492,10073
116,199.531,9679
117,200.570,9223
118,201.609,8772
119,202.648,8264
120,203.688,7793
121,204.727,7673
122,205.766,7106
123,206.805,6685
124,207.844,6461
125,208.883,6162
126,209.922,5704
127,210.961,5424
128,212.000,10150
129,213.039,4795
130,214.078,4627
131,215.117,4550
132,216.156,4295
133,217.195,4016
134,218.234,3903
135,219.273,3622
136,220.312,3485
137,221.352,3254
138,222.391,3189
139,223.430,3052
140,224.469,2933
141,225.508,2796
142,226.547,2671
143,227.586,2623
144,228.625,2556
145,229.664,2411
146,230.703,2268
147,231.742,2176
148,232.781,2112
149,233.820,1948
150,234.859,1883
151,235.898,1867
152,236.938,1714
153,237.977,3282
154,239.016,1593
155,240.055,1508
156,241.094,1487
157,242.133,1399
158,243.172,1309
159,244.211,1294
160,245.250,1211
161,246.289,1228
162,247.328,1114
163,248.367,1002
164,249.406,1000
165,250.445,1005
166,251.484,970
167,252.523,949
168,253.562,886
169,254.602,815
170,255.641,811
171,256.680,704
172,257.719,710
173,258.758,714
174,259.797,712
175,260.836,587
176,261.875,609
177,262.914,580
178,263.953,522
179,264.992,975
180,266.031,444
181,267.070,437
182,268.109,444
183,269.148,370
184,270.188,362
185,271.227,346
186,272.266,325
187,273.305,287
188,274.344,294
189,275.383,266
190,276.422,268
191,277.461,242
192,278.500,200
193,279.539,209
194,280.578,205
195,281.617,183
196,282.656,156
197,283.695,147
198,284.734,136
199,285.773,121
200,286.812,130
201,287.852,103
202,288.891,108
203,289.930,104
204,290.969,166
205,292.008,73
206,293.047,74
207,294.086,62
208,295.125,79
209,296.164,55
210,297.203,50
211,298.242,51
212,299.281,39
213,300.320,35
214,301.359,35
215,302.398,38
216,303.438,29
217,304.477,27
218,305.516,28
219,306.555,25
220,307.594,18
221,308.633,26
222,309.672,21
223,310.711,12
224,311.750,8
225,312.789,13
226,313.828,9
227,314.867,5
228,315.906,8
229,316.945,8
230,317.984,12
231,319.023,9
232,320.062,3
233,321.102,3
234,322.141,1
235,323.180,5
236,324.219,4
237,325.258,1
238,326.297,2
239,327.336,2
240,328.375,0
241,329.414,0
242,330.453,0
243,331.492,0
244,332.531,0
245,333.570,1
246,334.609,0
247,335.648,2
248,336.688,1
249,337.727,0
250,338.766,0
251,339.805,0
252,340.844,0
253,341.883,0
254,342.922,1
255,343.961,1
